                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.71837,                0.43357,                 1.0305,                0.91312,                0.84159,                0.92382,                0.63905,                 1.2277,                0.65769,                  1.588,             0.00058603,             0.00058603,             0.00058603
                    133,                0.69451,                0.41111,                 1.0268,                0.92325,                0.84003,                0.90922,                0.61733,                 1.2625,                0.62896,                 1.6529,             0.00057778,             0.00057778,             0.00057778
                    134,                0.69199,                 0.4108,                 1.0129,                0.86694,                0.85821,                0.91155,                0.61788,                 1.2701,                0.65557,                 1.6449,             0.00056953,             0.00056953,             0.00056953
                    135,                0.70987,                0.42717,                 1.0108,                0.89883,                0.85387,                0.91166,                0.63232,                 1.2701,                0.63807,                 1.6287,             0.00056128,             0.00056128,             0.00056128
                    136,                0.69412,                 0.4192,                 1.0165,                0.94439,                0.84368,                0.92319,                0.63659,                 1.2231,                0.64953,                  1.578,             0.00055303,             0.00055303,             0.00055303
                    137,                0.68956,                 0.4117,                 1.0213,                0.91431,                0.84907,                0.90836,                0.63413,                 1.2658,                0.61587,                 1.6295,             0.00054478,             0.00054478,             0.00054478
                    138,                0.70292,                0.41505,                 1.0168,                0.95013,                0.83968,                 0.9215,                0.62459,                 1.2607,                0.58759,                 1.6045,             0.00053652,             0.00053652,             0.00053652
                    139,                0.68987,                0.41126,                 1.0091,                0.86427,                0.88225,                0.91604,                0.61443,                 1.2842,                0.62239,                 1.6649,             0.00052827,             0.00052827,             0.00052827
                    140,                 0.6815,                0.40445,                 1.0144,                0.89775,                0.87336,                0.91049,                0.61745,                 1.2997,                0.63277,                 1.6874,             0.00052002,             0.00052002,             0.00052002
                    141,                0.70069,                0.41393,                 1.0136,                0.93273,                0.84987,                0.91284,                0.61845,                 1.2592,                0.61313,                 1.6478,             0.00051177,             0.00051177,             0.00051177
                    142,                0.66385,                0.40562,                 1.0034,                0.97666,                0.81845,                0.92601,                0.62193,                 1.2812,                0.59337,                 1.6889,             0.00050352,             0.00050352,             0.00050352
                    143,                0.67182,                0.39706,                 1.0087,                0.90477,                0.87413,                0.91783,                0.62483,                 1.2951,                0.62745,                 1.6778,             0.00049527,             0.00049527,             0.00049527
                    144,                0.66821,                0.40036,                 1.0073,                0.89899,                0.87527,                0.92812,                0.62929,                 1.2821,                0.57794,                 1.6675,             0.00048701,             0.00048701,             0.00048701
                    145,                0.66837,                0.40068,                 1.0013,                0.90151,                0.87674,                 0.9122,                0.62302,                 1.2713,                0.59661,                 1.6768,             0.00047876,             0.00047876,             0.00047876
                    146,                0.65577,                0.39058,                 1.0143,                0.92449,                0.82638,                0.91694,                0.61262,                  1.267,                0.64224,                 1.7006,             0.00047051,             0.00047051,             0.00047051
                    147,                0.66767,                 0.4013,                 1.0048,                0.88099,                0.85821,                0.91416,                0.62088,                 1.2383,                0.66296,                 1.6497,             0.00046226,             0.00046226,             0.00046226
                    148,                0.66819,                0.40375,                 1.0081,                0.91716,                0.86016,                0.91797,                0.60624,                 1.2626,                0.61471,                 1.6921,             0.00045401,             0.00045401,             0.00045401
                    149,                0.64758,                0.39141,                 1.0021,                0.88758,                0.86674,                0.90933,                0.61317,                 1.2674,                0.62012,                 1.7253,             0.00044576,             0.00044576,             0.00044576
